lang1=English
lang2=Ancient Language
[rules]
's;'ra
s;vit
ing;jir
ed;ec
re;ret
ful;ti
ly;ir
ness;ten
less;rek
mis;fal
ent;ens
est;si
y;i
ily;lir
er;do
ward;zon
ment;vit
ance;ant
ity;rin
non;nun
able;kan
tion;li
un;nu
[translations]
a;ai;
able;ikan
about;deža
abyss;sonangr
accept;noja
accomplish;cinna
act;esta
adapt;eilr
add;uca
addition;suzat'le
again;reten
ago;far
agree;sacio
ain't;esnut
aint;esnut
air;ahla
all;saw
allies;krathir'ic
allow;lé
allowed;léta
ally;krathir
alone;enol
always;rinma
am;sum
an;ai
anamnesis;retinentia
ancient;achaeos
and;un
anew;reten
anguish;zirinmal
ankle;falos
answer;soryu
any;dek
anymore;dekqua
anything;dekpresma
apart;divoli
appear;vovit
april;maraja
are;söre
are;söre
arena;ortvovitle
around;perhum
artifact;rasjim
as;la
ashame;faspen
ashamed;faspen'ec
asshole;bacok
at;va
attack;lacke
attacking;lackjir
attempt;xoati
august;tgauja
autemn;idona
awaiting;irithekjir
awake;vok
awaken;voken
away;forka
awesome;rilis
awkward;torqui
beautiful;vorti
beware;caunai
baby;torra
back;rurcal
bad;tis
balance;lansaer
banish;lokul
bastard;basta
battle;vitle
be;nai
beast;bestua
beat;batone
beauty;omorfia
beautiful;omorfos
became;venka'ec
because;guapor
become;venkat
bed;drek
been;erda
before;vör
before;vör
begin;arcipio
beginning;arcipjin
believe;creda
bend;sinio
betray;verra
better;gute
beyond;peron
big;turasum
bind;bant
binding(n);strestr
binding(v);bandrin
bird;fla
birth;entorr
bite;ángk
black;težin
blade;sinank
bless;bešlo
blessed;evšlest
blood;lypsi
bloodshed;nikelypsi
blue;harull
bone;osin
born;redru
bow;lúca(v)
bow;alma(n)
boy;kenr
brave;svos
brawl;vitle
break;mika
breath;reskis
bring;bennr
broke;mikaj
broken;mikajna
brother;fratcilo
burn;lig
but;shma
by;ini
bye;vey
call;anrul
came;venji
can;shil
care;voege
cause;prokiv
cease;berk
ceasing;berkjir
chair;nikuhl
challenge;zinkihl
chance;zufal
change;kirth
changeable;kirthikan
chaos;kaös
chest;esam
chief;argo
child;kind
children;kinni
choice;skópta
choose;skópi
chosen;skótr
chronicle;dierike
chronicles;dieriki
clothe;narc
clothes;nar'ic
clumsy;torqui
coin;kehr
cold;kryos
collapse;zerldiv
collapsed;zerldiv'ec
command;velsun
commander;dukanda
combine;dekili
come;veni
coming;venijir
companion;volrumar
complicate;imped
complicated;imped'ec
comprehend;kamverst
confuse;fundwey
confused;fundwey'ec
connect;synde
connection;syndesi
continue;shanakt
conquer;erovin
cool;ril
copy;kre
corner;rinke
cot;cubil
could;ilorn
couple;jiicul
course;curek
crash;abson
creation;aethr
creature;bellua
crucible;kroéžur
curse;katasr
cursed;katapa
cut;mac
dad;fasr
dagger;nekil
damn;xis
danger;korr
dangerous;korra
dark;myrana
daughter;drua
day;niv
dead;dýrn
death;dauðr
december;mecja
decide;envi
deem;tefna
deliver;alera
deliverance;alerant
demand;tulrad
demon;shädè
demon;shade
design;tellex
desire;dežun
despise;extem
despised;extem'ec
destiny;wyr
destroy;svönt
detect;anaevu
develop;sumtan
diamond;madalib
did;vit'ec
didn't;vit'ecna
die;dau
difficult;zikitonn
diligent;curitaen
dinner;denhr
direction;zone
dirt;skri
dislike;zenar
dispel;dianisen
distinct;alich
do;dii
does;zeh
doesn't;zehna
don't;diinuh
done;nopa
door;dirr
douch;bacokme
down;nakir
drag;lar
dragon;wyvrn
dream;vudri
drunk;ubshe
dwarf;ežrul
earth;enert
eat;sonn
ebony;ebon
edit;itar
eight;atil
elate;ihleyt
elated;ihleyt'ec
elegant;elefel
element;elagt
elemental;elegim
elementalist;elegimia
elementals;elegimic
elf;alféa
else;noch
emerald;sinusach
empower;daverten
end;ult
endeavor;tuxoacon
energy;nabet
enjoy;volir
enough;tofeta
even;cert
ever;rinma
everlasting;etero
every;saw
everyday;sioniv
everyone;siosine
everything;siopresma
evil;turavilka
exile;lokul
exiled;lokul'ec
exist;ezto
experience;irxis
expert;exus
explore;vagar
explorer;vagardo
expose;ofrizen
exposed;ofrizenec
extreme;zirine
exuberant;kialzorn
fable;belituis
fake;beli
faked;beli'ec
fall;xerl
fallen;xerlnr
false;bahlf
families;sver'ic
family;sver
fantastic;rilis
far;rov
farewell;veyet
fast;emeh
fate;wyr
father;facilr
fear;ongra
febuary;hrarja
feel;fúh
feign;bexit
feint;betam
felt;fúhlec
female;ilavi
few;cul
fight;varkam
final;ultal
find;traj
fine;bena
finish;nahil
fire;niša
first;eróta
five;fit
fix;nidd
flame;foe
flaw;neo
flower;blús
follow;ahnin
follower;fohlir
fool;dolir
for;nar
forge;aknax
forged;aknaxec
forget;nawicen
forgive;nadaak
forgot;nawicen'ec
forth;tenvor
fortune;zunef
forward;verazon
fought;vitlej
found;traj'ec
four;fil
freeze;vizri
friend;thaera
friendship;sethirum
from;von
fuck;zov
full;tos
funeral;amis
future;ikiyta
garb;narc
garrison;uranyr
gave;darc
gaze;voge
get;nout
ghost;rivol
girl;kena
give;dar
go;ghaet
god;spirsúlr
gone;jit
good;mí
goodbye;veyinbur
gore;vitnagi
got;car
gotta;cartu
grace;næma
grace;naema
grass;erbna
great;zihal
greed;cupek
green;vrark
grow;tanx
guard;gétr
guardian;gétrsin
guise;vovitant
guy;ker
had;dav
happen;shin
happiness;leytten
happy;leyt
hard;rénr
has;tepic
hate;zenar
hatred;zirzenar
have;te
having;tepjir
hail;vinel
he;konr
head;sevsta
heal;hyel
health;thegeia
hear;nymör
heart;anim
hello;avya
her;kona'v
here;fem
hers;kuna
hi;av
high;naefa (spacial)
high;elenakir(great/elite)
him;konr
his;konr'v
history;vörtuis
hold;fast
home;oka
honest;ehrmos
honor;erhe
hope;sper
horrible;zika
how;sva
however;svarinma
hunger;griha
hunt;narya
hunter;naryškr
hurl;zitiro
hurricane;vasstromest
hurt;maoul
i;ek
i'll;icnive
ice;vjis
idea;ulna
idiot;pegos
if;an
impose;eni'olis
in;en
inclination;tusnuhpec
incline;tusni
inebriate;xershe
inebriated;xershe'ec
inexperience;nodirxis
inflict;rakiv
initiate;settigr(of_a_group,_or_art)
initiated;settirec(of_a_group,_or_art)
insanity;noia'urin
inside;enora
insist;enrare
instant;atwa
intend;isse
intent;issive
interest;kipra
into;entu
intoxicate;vilshe
intoxicated;vilshe'ec
iron;durusk
is;irš
it;cil
itch;zóna
itch;zóna
january;jjanosja
jerk;bacok
job;kopt
join;deki
july;luyja
june;junja
just;nur
keep;nakt
kill;vent
kind;art
kinda;artvo
knife;fersin
know;sani
knowledge;irxis
lack;nuri
land;thazil
language;xantilo
large;turasum
last;ulma
laugh;risich
lay;rets
lead;nyta
leader;pretis
least;rezkip
leave;dejas
leaved;dejas'ec
leaving;dejasjir
left;zulik
less;rek
let;lé(had_let)
let;léta(to_let)
liberate;exàgora
liberty;exàgo
lie;cúg
life;vitcya
light;lymrn
like;volir
lion;artix
litter;xihur
live;vit
living;vitjir
long;ialo
look;vovie
lost;ariit
loud;hai
love;volar
low;vek
loyal;azra
loyalty;azara
lucrative;lucara
lust;anaël
magic;arseia
magnificent;rilzshihal
make;xerut
male;ilovi
malevolent;turavilka
man;kónr
many;móti
march;krilarja
massive;turasum
master;kyrinr
matter;volo
may;manjja
me;viene
mean;ava
meant;avace
melee;consus
memory;retar
mend;niehe
merriment;leytvit
merry;leyt
might;utik
mine;vielr
misfortune;nadzunef
misplaced;falortec
miss;ictin
mission;fokihl
mistaken;falplaxen
mold;xerth
mom;masr
moment;atwa
money;íré
money(plr);dineræ(plr)
monster;sotyr
month;monat
moon;ka
more;qua
moron;malot
mother;macilr
mountain;orofell
move;pasov
much;kialto
murder;daohum
must;indit
my;mi
myth;mituis
myself;mi'vipte
nap;ifrún
napped;ifrún'ec
narrate;orvis
neck;hawi
need;inde
never;narin
new;neos
next;frev
nice;ril
night;naž
nightmare;malvudri
nine;nit
no;nu
nor;nust
normal;nomos
not;nu
nothing;nol
november;evoja
now;mar
oath;dešklaua
october;ocoja
odd;lum
of;vo
off;sto
ok;bena
okay;benthas
old;elr
older;elir
on;sha
one;sin
or;uust
or;uust
out;eki
over;subr
own;sit
paid;kint'ec
pain;lona
parent;odaren
part;il
pass;dol
passage;viafær
past;vóytun(spacial)
past;vorvol(time)
path;laéðr
pay;kint
peace;pavir
persist;durare
person;tiv
place;ort
placed;ortec
plain;bant
please;trano
plush;lufel
poison;vilen
power;verten
powerful;vertenti
present;paryta
process;fahzen
prompt;temos
proper;arktem
protect;rahsic
protector;rahsliwo
punish;mulme
purchase;dokemo
purpose;ipsum
push;thruma
put;tec
question;rogark
quick;temos
quite;arket
ran;iter'ec
rapid;temos
rather;eherla
ready;thita
real;ipokh
reality;ipokir
really;flan
reason;jril
reawakening;reteckenjir
reborn;redru'ret
recollect;retinen
recollection;retinentia
red;richa
redeem;dukan
refuse;neuar
regret;ethel
remember;retarul
remove;arynike
repair;niehe
repeat;recan
require;zinde
rest;úbhe
revenge;narventa
right;arkt
ring;nel
rip;vlic
rock;tönro
rock;tönro
room;luhabi
ruby;rakaro
run;iter
running;iterjir
sad;mal
said;xan'ec
sake;prok
same;édem
sapphire;haphir
save;idia
saw;vira
say;xan
scar;zert
scarred;zert'ec
scorch;ligna
second;raltil
see;vie
seek;liath
seeker;liatsin
seem;vode
seen;viec
self;ipte
september;embra
seven;svit
shadow;syk
shall;hys
shatter;luchen
she;kona
shield;ægis
shift;sich
shit;cacris
shitty;cacrir
short;if
should;nisorn
shout;haiukä
shout;haiukä
show;movi
sibling;odafrat
side;ora
silk;ohmti
simple;bantriv
simply;bantrivir
sin;fas
sing;cano
sister;fratcila
six;sil
size;goze
slaughter;kiavent
sleep;rún
slept;rún'ec
slice;vitmak
slow;birk
small;ipr
smile;hlæa(v)
smile;mæln(n)
so;sic
soldier;vitkraa
solid;tön
solid;tön
some;creo
somehow;creosva
someone;creosin
son;druo
soon;temos
sorry;bivschúl
soul;súl
sound;ulvox
spawn;vran
spear;phexlan
speak;xanren
specific;dalic
spent;exumpt
spin;qun
spirit;spirsúlr
spirits;spirsúli
sprite;súlipr
spring;ycella
stain;notch
star;mulisk
start;malu
status;róð
stay;maz
steel;avyth
still;voch
stone;tonnlahis
stop;berk
stopping;berkjir
storm;tormesta
story;tuis
strength;vertendr
strong;vertise
such;tas
sum;suzamon
summer;umera
sun;stohn
suppose;arbit
supposed;arbit'ec
supposing;arbitjir
sure;kern
surrender;vyétlos
sword;zworin
take;plax
talk;ukä
talk;uka
task;kihl
tear;lac
tell;orv
ten;twil
tenacious;dutarens
tend;spec
term;kyostr
terms;kyosen
than;hak
thank;gratii
thanked;gratiec
thankful;gratiti
thankfully;gratiir
thanking;gratjir
thankless;gratirek
thanks;gratic
that;semi
the;du
their;resu
them;ciline
then;havol
there;vimo
these;des
they;cili
thief;lymviir
thing;presma
think;cogpa
this;aft
those;enes
though;tame
thought;sioden
threat;korra
three;thrit
throat;rosh
through;peresk
throw;retiro
time;yta
to;tu
today;isniv
together;sinulmazi
tomorrow;renivta
tonight;isnox
too;utu
toss;tiro
total;ammon
tough;durtus
train;nokem
tree;skar
trick;dolir
tried;xoa'ec
true;vahr
try;xoa
trying;xoajir
turn;vúrs
twas;cera
twist;nætho
two;til
ultra;altro
unable;nuikr
understand;kamverst
universe;nacura
up;su
upbring;subennr
upon;bein
us;zu
vampire;lamata
velvet;ikohmt
vengeance;vitnaren
venom;verus
very;poli
violent;vitnar
vivacious;zivitos
vivacity;zivitosi
vivid;vilich
void;vazek
wait;ithek
wake;voken
walk;ita
wander;vagar
wanna;trentu
want;tren
war;kraa
warn;tui
warrior;vitkraa
wary;cautr
was;era
watch;vigek
water;neros
way;via
we;zi
we'd;zi'orn
we've;zhte
weapon;vitæs
weapon;viteas
weird;lumkra
well;vohl
werewolf;kirsulak
what;svac
when;ube
where;hvor
which;hvulkyn
whisper;vis'hr
white;vísnr
who;wo
why;kwe
will;tha(must,might,will_be)
will;míla(desire,disposition)
will;milža(intend,wish)
wing;gažr
winter;žuntr
wisdom;sofia
wish;wen
with;pehr
within;pehren
without;pehreki
wolf;sulak
woman;kóna
wonder;cogika
world;skrio
worst;kasi
worth;virð
worthy;verðr
would;tha
wrong;nals
wrongdoing;nalsvitjir
year;niviet
yell;haiukä
yes;ya
yesterday;bonivto
yet;sed
you;ono
you'll;enis
you're;onosör
your;ono'ra
yours;ono'ra
yourself;ono'ipte
zero;nol

-End-
